station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ZBTJ,2020-10-20 11:30,117.3462,39.1243,64.40,41.00,42.28,180.00,9.72,0.00,30.03,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201130Z 18005MPS 5000 HZ NSC 18/05 Q1017 NOSIG
ZYTL,2020-10-20 11:30,121.6333,38.9000,62.60,53.60,72.38,150.00,3.89,0.00,30.15,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201130Z 15002MPS 090V180 7000 NSC 17/12 Q1021 NOSIG
ZYTX,2020-10-20 11:30,123.4000,41.8000,59.00,42.80,54.86,220.00,5.83,0.00,30.09,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZYTX 201130Z 22003MPS 5000 HZ NSC 15/06 Q1019 NOSIG
ZSHC,2020-10-20 11:30,120.1667,30.2333,62.60,53.60,72.38,70.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201130Z 07003MPS CAVOK 17/12 Q1021 NOSIG
ZSSS,2020-10-20 11:30,121.3363,31.1979,68.00,51.80,56.13,80.00,1.94,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201130Z 08001MPS CAVOK 20/11 Q1022 NOSIG
ZSPD,2020-10-20 11:30,121.7667,31.1167,66.20,55.40,68.15,10.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201130Z 01003MPS CAVOK 19/13 Q1021 NOSIG
ZWWW,2020-10-20 11:30,87.4742,43.9071,60.80,21.20,21.53,310.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWWW 201130Z 31003MPS CAVOK 16/M06 Q1021 NOSIG
ZBAD,2020-10-20 11:30,116.4106,39.5092,55.40,50.00,81.99,M,1.94,0.00,30.03,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201130Z VRB01MPS 3500 BR NSC 13/10 Q1017 NOSIG
ZMUB,2020-10-20 11:30,106.7666,47.8431,17.60,8.60,67.28,290.00,5.83,0.00,30.09,M,6.21,M,FEW,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,8.36,ZMUB 201130Z 29003MPS 9999 FEW033 M08/M13 Q1019 NOSIG RMK QFE656.6 65 NT
ZMUB,2020-10-20 12:00,106.7666,47.8431,17.60,10.40,72.93,280.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.36,ZMUB 201200Z 28003MPS CAVOK M08/M12 Q1019 NOSIG RMK QFE656.9 70
ZGHA,2020-10-20 12:00,112.8667,28.2333,62.60,57.20,82.50,340.00,7.78,0.00,30.21,M,3.11,M,BKN,M,M,M,2000.00,M,M,M,BR,M,M,M,M,M,M,M,ZGHA 201200Z 34004MPS 5000 BR BKN020 17/14 Q1023 NOSIG
ZBYN,2020-10-20 12:00,112.5500,37.7833,55.40,37.40,50.64,190.00,3.89,0.00,30.12,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBYN 201200Z 19002MPS 140V270 6000 NSC 13/03 Q1020 NOSIG
ZGGG,2020-10-20 12:00,113.3008,23.3964,73.40,57.20,56.88,10.00,9.72,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201200Z 01005MPS CAVOK 23/14 Q1016 NOSIG
ZGKL,2020-10-20 12:00,110.3000,25.3333,64.40,57.20,77.45,40.00,5.83,0.00,30.18,M,6.21,M,SCT,OVC,M,M,4000.00,6000.00,M,M,M,M,M,M,M,M,M,M,ZGKL 201200Z 04003MPS 9999 SCT040 OVC060 18/14 Q1022 NOSIG
ZGOW,2020-10-20 12:00,116.6833,23.4000,78.80,69.80,73.95,190.00,3.89,0.00,29.94,M,6.21,M,BKN,M,M,M,4300.00,M,M,M,M,M,M,M,M,M,M,M,ZGOW 201200Z 19002MPS 110V280 9999 BKN043 26/21 Q1014 BECMG 36005MPS
ZHHH,2020-10-20 12:00,114.1300,30.6200,62.60,57.20,82.50,280.00,3.89,0.00,30.18,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZHHH 201200Z 28002MPS 240V310 6000 NSC 17/14 Q1022 NOSIG
ZJHK,2020-10-20 12:00,110.4590,19.9349,77.00,69.80,78.48,50.00,9.72,0.00,29.97,M,6.21,M,FEW,SCT,M,M,2300.00,3000.00,M,M,M,M,M,M,M,M,M,M,ZJHK 201200Z 05005MPS 9999 FEW023 SCT030 25/21 Q1015 NOSIG
ZJSY,2020-10-20 12:00,109.4123,18.3029,78.80,71.60,78.62,80.00,5.83,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZJSY 201200Z 08003MPS CAVOK 26/22 Q1012 NOSIG
ZUGY,2020-10-20 12:00,106.7333,26.5833,50.00,48.20,93.50,30.00,5.83,0.00,30.30,M,4.97,M,SCT,BKN,OVC,M,600.00,1500.00,3300.00,M,M,M,M,M,M,M,M,M,ZUGY 201200Z 03003MPS 8000 SCT006 BKN015 OVC033 10/09 Q1026 NOSIG
ZGSZ,2020-10-20 12:00,114.1000,22.5500,77.00,62.60,61.13,350.00,11.66,0.00,29.97,M,6.21,M,SCT,M,M,M,4300.00,M,M,M,M,M,M,M,M,M,M,M,ZGSZ 201200Z 35006MPS 9999 SCT043 25/17 Q1015 NOSIG
ZHCC,2020-10-20 12:00,113.6500,34.7167,60.80,50.00,67.54,200.00,3.89,0.00,30.15,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZHCC 201200Z 20002MPS 140V250 5000 HZ NSC 16/10 Q1021 NOSIG
ZGNN,2020-10-20 12:00,108.2167,22.6333,69.80,57.20,64.26,340.00,7.78,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGNN 201200Z 34004MPS 320V020 CAVOK 21/14 Q1018 NOSIG
ZBAA,2020-10-20 12:00,116.5870,40.0741,51.80,50.00,93.55,M,1.94,0.00,30.03,M,1.80,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAA 201200Z VRB01MPS 2900 BR NSC 11/10 Q1017 BECMG TL1220 3500
ZBHH,2020-10-20 12:00,111.6833,40.8167,44.60,-0.40,14.89,310.00,17.49,0.00,30.12,M,3.73,29.16,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,36.46,ZBHH 201200Z 31009G15MPS 280V340 6000 NSC 07/M18 Q1020 BECMG TL1330 33004MPS
ZBSJ,2020-10-20 12:00,114.6973,38.2807,60.80,48.20,63.15,180.00,3.89,0.00,30.00,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBSJ 201200Z 18002MPS 6000 NSC 16/09 Q1016 NOSIG
ZBTJ,2020-10-20 12:00,117.3462,39.1243,64.40,41.00,42.28,190.00,7.78,0.00,30.03,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201200Z 19004MPS 5000 HZ NSC 18/05 Q1017 NOSIG
ZYTL,2020-10-20 12:00,121.6333,38.9000,64.40,51.80,63.60,170.00,7.78,0.00,30.15,M,6.21,17.49,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201200Z 17004G09MPS 130V210 CAVOK 18/11 Q1021 NOSIG
ZYTX,2020-10-20 12:00,123.4000,41.8000,59.00,42.80,54.86,200.00,5.83,0.00,30.09,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZYTX 201200Z 20003MPS 5000 HZ NSC 15/06 Q1019 NOSIG
ZLLL,2020-10-20 12:00,103.7500,36.0200,46.40,19.40,33.79,M,1.94,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLLL 201200Z VRB01MPS CAVOK 08/M07 Q1029 NOSIG
ZLXY,2020-10-20 12:00,108.7516,34.4471,55.40,51.80,87.65,240.00,3.89,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLXY 201200Z 24002MPS 220V280 CAVOK 13/11 Q1023 NOSIG
ZSAM,2020-10-20 12:00,118.0833,24.4833,75.20,62.60,64.91,50.00,7.78,0.00,29.97,M,6.21,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,ZSAM 201200Z 05004MPS 9999 BKN050 24/17 Q1015 NOSIG
ZPPP,2020-10-20 12:00,102.6833,25.0167,51.80,51.80,100.00,40.00,7.78,0.00,30.33,M,3.11,M,SCT,SCT,OVC,M,300.00,1600.00,3000.00,M,-RA BR,M,M,M,M,M,M,M,ZPPP 201200Z 04004MPS 5000 -RA BR SCT003 SCT016 OVC030 11/11 Q1027 NOSIG
ZSFZ,2020-10-20 12:00,119.2833,26.0833,71.60,60.80,68.75,30.00,17.49,0.00,30.06,M,6.21,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,ZSFZ 201200Z 03009MPS 9999 BKN050 22/16 Q1018 NOSIG
ZSHC,2020-10-20 12:00,120.1667,30.2333,62.60,55.40,77.29,60.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201200Z 06002MPS CAVOK 17/13 Q1021 NOSIG
ZSNB,2020-10-20 12:00,121.4619,29.8267,60.80,57.20,87.92,310.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNB 201200Z 31002MPS CAVOK 16/14 Q1021 NOSIG
ZSOF,2020-10-20 12:00,117.2984,31.7800,60.80,55.40,82.37,M,1.94,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSOF 201200Z VRB01MPS CAVOK 16/13 Q1022 NOSIG
ZSQD,2020-10-20 12:00,120.3333,36.0667,62.60,51.80,67.75,180.00,5.83,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSQD 201200Z 18003MPS CAVOK 17/11 Q1022 NOSIG
ZSSS,2020-10-20 12:00,121.3363,31.1979,68.00,53.60,59.97,M,1.94,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201200Z VRB01MPS CAVOK 20/12 Q1022 NOSIG
ZUCK,2020-10-20 12:00,106.4800,29.5200,60.80,51.80,72.20,290.00,3.89,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUCK 201200Z 29002MPS 260V320 CAVOK 16/11 Q1027 NOSIG
ZSNJ,2020-10-20 12:00,118.8667,31.7333,64.40,55.40,72.56,40.00,3.89,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNJ 201200Z 04002MPS CAVOK 18/13 Q1022 NOSIG
ZSPD,2020-10-20 12:00,121.7667,31.1167,66.20,57.20,72.74,360.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201200Z 36003MPS CAVOK 19/14 Q1021 NOSIG
ZUUU,2020-10-20 12:00,104.0167,30.6667,59.00,57.20,93.74,220.00,3.89,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUUU 201200Z 22002MPS 190V250 CAVOK 15/14 Q1027 NOSIG
ZWWW,2020-10-20 12:00,87.4742,43.9071,59.00,21.20,22.95,320.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWWW 201200Z 32003MPS CAVOK 15/M06 Q1021 NOSIG
ZYCC,2020-10-20 12:00,125.2167,43.9000,59.00,37.40,44.47,190.00,11.66,0.00,30.00,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYCC 201200Z 19006MPS 7000 NSC 15/03 Q1016 NOSIG
ZYHB,2020-10-20 12:00,126.5800,46.0200,59.00,42.80,54.86,180.00,11.66,0.00,29.91,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYHB 201200Z 18006MPS 7000 NSC 15/06 Q1013 NOSIG
ZWSH,2020-10-20 12:00,75.9833,39.4667,64.40,14.00,13.90,150.00,3.89,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWSH 201200Z 15002MPS 110V180 CAVOK 18/M10 Q1025 NOSIG
ZBAD,2020-10-20 12:00,116.4106,39.5092,53.60,50.00,87.56,300.00,1.94,0.00,30.03,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201200Z 30001MPS 3500 BR NSC 12/10 Q1017 NOSIG
ZSHC,2020-10-20 12:30,120.1667,30.2333,62.60,55.40,77.29,60.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201230Z 06002MPS CAVOK 17/13 Q1021 NOSIG
ZSSS,2020-10-20 12:30,121.3363,31.1979,66.20,53.60,63.82,M,1.94,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201230Z VRB01MPS CAVOK 19/12 Q1022 NOSIG
ZSPD,2020-10-20 12:30,121.7667,31.1167,62.60,57.20,82.50,330.00,5.83,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201230Z 33003MPS CAVOK 17/14 Q1022 NOSIG
ZWWW,2020-10-20 12:30,87.4742,43.9071,57.20,19.40,22.68,310.00,3.89,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWWW 201230Z 31002MPS CAVOK 14/M07 Q1022 NOSIG
ZBAD,2020-10-20 12:30,116.4106,39.5092,53.60,48.20,81.87,300.00,1.94,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201230Z 30001MPS 3500 BR NSC 12/09 Q1016 NOSIG
ZMUB,2020-10-20 12:30,106.7666,47.8431,17.60,10.40,72.93,M,1.94,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZMUB 201230Z VRB01MPS CAVOK M08/M12 Q1019 NOSIG RMK QFE656.9 70
ZBYN,2020-10-20 12:30,112.5500,37.7833,55.40,37.40,50.64,M,3.89,0.00,30.12,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBYN 201230Z VRB02MPS 6000 NSC 13/03 Q1020 NOSIG
ZGGG,2020-10-20 12:30,113.3008,23.3964,73.40,59.00,60.67,10.00,9.72,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201230Z 01005MPS CAVOK 23/15 Q1017 NOSIG
ZBAA,2020-10-20 12:30,116.5870,40.0741,50.00,48.20,93.50,M,1.94,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAA 201230Z VRB01MPS 3500 BR NSC 10/09 Q1016 NOSIG
ZBTJ,2020-10-20 12:30,117.3462,39.1243,64.40,41.00,42.28,200.00,11.66,0.00,30.03,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201230Z 20006MPS 5000 HZ NSC 18/05 Q1017 NOSIG
ZYTL,2020-10-20 12:30,121.6333,38.9000,64.40,50.00,59.50,180.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201230Z 18003MPS 150V210 CAVOK 18/10 Q1021 NOSIG
ZYTX,2020-10-20 12:30,123.4000,41.8000,59.00,42.80,54.86,200.00,5.83,0.00,30.09,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTX 201230Z 20003MPS 6000 NSC 15/06 Q1019 NOSIG
ZMUB,2020-10-20 13:00,106.7666,47.8431,15.80,8.60,72.73,300.00,3.89,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.67,ZMUB 201300Z 30002MPS CAVOK M09/M13 Q1019 NOSIG RMK QFE656.8 72
ZGHA,2020-10-20 13:00,112.8667,28.2333,62.60,57.20,82.50,340.00,11.66,0.00,30.21,M,3.73,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,ZGHA 201300Z 34006MPS 6000 BKN040 17/14 Q1023 NOSIG
ZBYN,2020-10-20 13:00,112.5500,37.7833,53.60,37.40,54.07,180.00,3.89,0.00,30.12,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBYN 201300Z 18002MPS 6000 NSC 12/03 Q1020 NOSIG
ZGGG,2020-10-20 13:00,113.3008,23.3964,73.40,59.00,60.67,10.00,9.72,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGGG 201300Z 01005MPS CAVOK 23/15 Q1017 NOSIG
ZGKL,2020-10-20 13:00,110.3000,25.3333,64.40,55.40,72.56,30.00,5.83,0.00,30.18,M,4.35,M,SCT,OVC,M,M,3300.00,5000.00,M,M,M,M,M,M,M,M,M,M,ZGKL 201300Z 03003MPS 7000 SCT033 OVC050 18/13 Q1022 NOSIG
ZGOW,2020-10-20 13:00,116.6833,23.4000,77.00,64.40,65.12,20.00,5.83,0.00,29.97,M,6.21,M,BKN,M,M,M,4300.00,M,M,M,M,M,M,M,M,M,M,M,ZGOW 201300Z 02003MPS 9999 BKN043 25/18 Q1015 NOSIG
ZHHH,2020-10-20 13:00,114.1300,30.6200,62.60,55.40,77.29,270.00,5.83,0.00,30.21,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZHHH 201300Z 27003MPS 220V310 6000 NSC 17/13 Q1023 NOSIG
ZJHK,2020-10-20 13:00,110.4590,19.9349,77.00,69.80,78.48,60.00,9.72,0.00,29.97,M,6.21,M,FEW,SCT,M,M,2300.00,3000.00,M,M,M,M,M,M,M,M,M,M,ZJHK 201300Z 06005MPS 9999 FEW023 SCT030 25/21 Q1015 NOSIG
ZJSY,2020-10-20 13:00,109.4123,18.3029,77.00,69.80,78.48,90.00,5.83,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZJSY 201300Z 09003MPS CAVOK 25/21 Q1013 NOSIG
ZUGY,2020-10-20 13:00,106.7333,26.5833,50.00,48.20,93.50,10.00,5.83,0.00,30.33,M,4.97,M,SCT,BKN,OVC,M,600.00,1500.00,3300.00,M,M,M,M,M,M,M,M,M,ZUGY 201300Z 01003MPS 8000 SCT006 BKN015 OVC033 10/09 Q1027 NOSIG
ZGSZ,2020-10-20 13:00,114.1000,22.5500,77.00,60.80,57.36,10.00,9.72,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGSZ 201300Z 01005MPS CAVOK 25/16 Q1016 NOSIG
ZHCC,2020-10-20 13:00,113.6500,34.7167,60.80,50.00,67.54,190.00,3.89,0.00,30.15,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZHCC 201300Z 19002MPS 160V250 5000 HZ NSC 16/10 Q1021 NOSIG
ZGNN,2020-10-20 13:00,108.2167,22.6333,68.00,57.20,68.35,350.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGNN 201300Z 35003MPS CAVOK 20/14 Q1019 NOSIG
ZBAA,2020-10-20 13:00,116.5870,40.0741,50.00,48.20,93.50,M,1.94,0.00,30.00,M,2.80,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAA 201300Z VRB01MPS 4500 BR NSC 10/09 Q1016 NOSIG
ZBHH,2020-10-20 13:00,111.6833,40.8167,41.00,6.80,23.85,330.00,13.61,0.00,30.18,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.89,ZBHH 201300Z 33007MPS 300V360 6000 NSC 05/M14 Q1022 NOSIG
ZBSJ,2020-10-20 13:00,114.6973,38.2807,59.00,46.40,62.92,170.00,3.89,0.00,30.00,M,3.73,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBSJ 201300Z 17002MPS 6000 NSC 15/08 Q1016 NOSIG
ZBTJ,2020-10-20 13:00,117.3462,39.1243,64.40,42.80,45.32,200.00,9.72,0.00,30.03,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBTJ 201300Z 20005MPS 5000 HZ NSC 18/06 Q1017 NOSIG
ZYTL,2020-10-20 13:00,121.6333,38.9000,64.40,51.80,63.60,190.00,5.83,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTL 201300Z 19003MPS 150V230 CAVOK 18/11 Q1021 NOSIG
ZYTX,2020-10-20 13:00,123.4000,41.8000,59.00,42.80,54.86,200.00,7.78,0.00,30.09,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYTX 201300Z 20004MPS 7000 NSC 15/06 Q1019 NOSIG
ZLLL,2020-10-20 13:00,103.7500,36.0200,35.60,17.60,47.51,320.00,3.89,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.74,ZLLL 201300Z 32002MPS CAVOK 02/M08 Q1029 NOSIG
ZLXY,2020-10-20 13:00,108.7516,34.4471,55.40,51.80,87.65,230.00,3.89,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLXY 201300Z 23002MPS CAVOK 13/11 Q1024 NOSIG
ZSAM,2020-10-20 13:00,118.0833,24.4833,75.20,60.80,60.90,40.00,9.72,0.00,29.97,M,6.21,M,BKN,M,M,M,4300.00,M,M,M,M,M,M,M,M,M,M,M,ZSAM 201300Z 04005MPS 9999 BKN043 24/16 Q1015 NOSIG
ZPPP,2020-10-20 13:00,102.6833,25.0167,50.00,50.00,100.00,40.00,9.72,0.00,30.36,M,3.11,M,SCT,SCT,OVC,M,300.00,1600.00,3000.00,M,-RA BR,M,M,M,M,M,M,M,ZPPP 201300Z 04005MPS 5000 -RA BR SCT003 SCT016 OVC030 10/10 Q1028 NOSIG
ZSFZ,2020-10-20 13:00,119.2833,26.0833,71.60,57.20,60.44,20.00,15.55,0.00,30.06,M,6.21,M,BKN,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,M,ZSFZ 201300Z 02008MPS 9999 BKN046 22/14 Q1018 NOSIG
ZSHC,2020-10-20 13:00,120.1667,30.2333,62.60,55.40,77.29,70.00,1.94,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSHC 201300Z 07001MPS CAVOK 17/13 Q1021 NOSIG
ZSNB,2020-10-20 13:00,121.4619,29.8267,60.80,57.20,87.92,320.00,3.89,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNB 201300Z 32002MPS CAVOK 16/14 Q1021 NOSIG
ZSOF,2020-10-20 13:00,117.2984,31.7800,59.00,53.60,82.25,0.00,0.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSOF 201300Z 00000MPS CAVOK 15/12 Q1021 NOSIG
ZSQD,2020-10-20 13:00,120.3333,36.0667,62.60,51.80,67.75,180.00,5.83,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSQD 201300Z 18003MPS CAVOK 17/11 Q1022 NOSIG
ZSSS,2020-10-20 13:00,121.3363,31.1979,66.20,53.60,63.82,60.00,1.94,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSSS 201300Z 06001MPS CAVOK 19/12 Q1022 NOSIG
ZUCK,2020-10-20 13:00,106.4800,29.5200,59.00,53.60,82.25,280.00,3.89,0.00,30.33,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUCK 201300Z 28002MPS 260V340 CAVOK 15/12 Q1027 NOSIG
ZSNJ,2020-10-20 13:00,118.8667,31.7333,60.80,57.20,87.92,360.00,1.94,0.00,30.18,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSNJ 201300Z 36001MPS 9000 NSC 16/14 Q1022 NOSIG
ZSPD,2020-10-20 13:00,121.7667,31.1167,62.60,57.20,82.50,330.00,5.83,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZSPD 201300Z 33003MPS CAVOK 17/14 Q1022 NOSIG
ZUUU,2020-10-20 13:00,104.0167,30.6667,59.00,55.40,87.83,M,1.94,0.00,30.36,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZUUU 201300Z VRB01MPS CAVOK 15/13 Q1028 NOSIG
ZWWW,2020-10-20 13:00,87.4742,43.9071,55.40,21.20,26.13,280.00,5.83,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWWW 201300Z 28003MPS CAVOK 13/M06 Q1022 NOSIG
ZYCC,2020-10-20 13:00,125.2167,43.9000,59.00,35.60,41.42,190.00,11.66,0.00,29.97,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYCC 201300Z 19006MPS 7000 NSC 15/02 Q1015 NOSIG
ZYHB,2020-10-20 13:00,126.5800,46.0200,57.20,42.80,58.52,170.00,9.72,0.00,29.91,M,4.35,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZYHB 201300Z 17005MPS 7000 NSC 14/06 Q1013 NOSIG
ZWSH,2020-10-20 13:00,75.9833,39.4667,60.80,17.60,18.46,0.00,0.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZWSH 201300Z 00000MPS CAVOK 16/M08 Q1025 NOSIG
ZBAD,2020-10-20 13:00,116.4106,39.5092,55.40,50.00,81.99,M,1.94,0.00,30.00,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBAD 201300Z VRB01MPS 3500 BR NSC 13/10 Q1016 NOSIG
ZMUB,2020-10-20 13:30,106.7666,47.8431,12.20,6.80,78.51,190.00,3.89,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.48,ZMUB 201330Z 19002MPS CAVOK M11/M14 Q1019 NOSIG RMK QFE656.8 76
ZBYN,2020-10-20 13:30,112.5500,37.7833,51.80,39.20,61.99,170.00,3.89,0.00,30.12,M,3.11,M,NSC,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,ZBYN 201330Z 17002MPS 5000 HZ NSC 11/04 Q1020 NOSIG
